Day,Sales,Trading Profit,Operating Expense,Net Profit
11,3575182,-105405,995585,-1097394
12,6275031,2461566,1026709,1434857
13,6635135,2646421,1069833,1576588
14,6880160,1824499,2064389,-238863
15,8855995,3645446,2200249,1447252
16,9256809,3890673,2240991,1650709
17,9631716,3218045,2318178,902435
18,10043947,3470991,2372447,1100085
19,11591185,4650483,2561288,2089195
20,11819937,4778553,2613905,2164648
21,12508823,5314423,2941090,2373333
22,13175969,5820991,3002976,2782682
23,13509361,5455209,3062372,2357504
24,13722059,5579876,3094146,2450397
25,14615608,6373040,3126010,3211697
26,14977916,6576392,3159892,3381167
27,15437402,5713567,3349858,2328376
28,16579972,6719356,3381758,3302265
29,16954701,5425997,3786149,1604515
30,17519856,4218744,4043958,139453
31,19929213,6476494,4096262,2344899
32,21267197,6049566,4697448,1316785
33,24056978,7536318,4806703,2694282
34,24318507,7673661,4876235,2762093
35,26699292,8882571,4953561,3893677
36,27091689,8925039,5045882,3843824
37,29666035,10532469,5152787,5344349
38,30814302,11245436,5240993,5969110
39,32400342,12676253,5338370,7302550
40,33926218,13719650,5810051,7874266
41,34788276,14415643,5855543,8524767
42,35208790,14517218,5910996,8570889
43,35662542,14450180,6007911,8406936
44,36946554,15219793,6051248,9133212
45,37745266,14836382,6126837,8674212
46,38492622,15121007,6225421,8860253
47,40276366,16721155,6291873,10393949
48,41859286,18124286,6386345,11702608
49,42186858,18298522,6441093,11822096
50,42563002,16861687,6620848,10205506
51,45206978,19353333,6733230,12584770
52,46757926,20229645,6779564,13414748
53,47826471,20914882,6826380,14053169
54,48034690,18866268,7600743,11230192
55,51563327,22057186,7780280,14241573
56,52560915,22804189,7843138,14925718
57,53988589,24016400,7888423,16092644
58,54701986,23534536,8295374,15203829
59,55372606,23991315,8355028,15600954
60,57638069,25828372,8484155,17308884
61,58351046,26308292,8545379,17727580
62,59366108,26864986,8834283,17995370
63,60286116,26992839,9280755,17676751
64,61268062,27519086,9416759,18066994
65,64349543,29806510,9467354,20303823
66,65467184,30503110,9529559,20938218
67,66257400,30789730,9609893,21144504
68,67223753,31533467,9687271,21810863
69,68301646,32368260,9761706,22571221
70,70116866,33560240,9813395,23711512
71,71796760,34156226,9880291,24240602
72,72931168,34897618,9922684,24954601
73,74192874,35113363,10003019,25090011
74,74762675,35455985,10047912,25387740
75,76141442,36642014,10095959,26525722
76,76623707,36050511,10190734,25839444
77,77149096,35400542,10475146,24905063
78,79066300,37097606,10517125,26546149
79,81009644,38603715,10648442,27920941
80,81723825,39093680,10686481,28372867
81,82760717,37999877,11362100,26603445
82,85999425,40992262,11404594,29553336
83,86701579,41443736,11442289,29967115
84,88357622,42557954,11479950,31043672
85,88887305,42911881,11517401,31360148
86,89561662,43400586,11558900,31807354
87,90269346,43860382,11596547,32229503
88,90845475,44238601,11636108,32568161
89,91142738,44431484,11683732,32713420
90,91281989,44526957,11721356,32771269
